#{"t_start": 1721925638.3024893, "env_id": "LunarLander-v2"}
r,l,t
154.105287,1000,1587.144497
-31.63899,231,1592.000481
-33.198125,239,1597.006681
200.870144,753,1613.886527
16.811042,226,1618.669272
248.094123,728,1633.936754
125.82184,1000,1656.038594
232.599808,694,1670.548253
-20.697161,268,1676.204983
232.399782,652,1691.099129
155.938928,797,1707.804265
235.656775,390,1715.959855
239.166493,324,1722.811737
218.868629,470,1732.653273
220.103732,366,1741.616471
-29.669296,258,1747.0157
199.851147,361,1754.595413
193.740605,509,1765.274534
245.576518,374,1773.127697
252.797362,350,1781.653675
-82.882313,383,1789.714749
186.933718,541,1801.081655
210.750613,430,1810.123589
206.277951,481,1820.216624
226.167576,379,1829.454005
26.720142,203,1833.729709
-47.224933,198,1837.898009
220.39229,396,1846.224278
245.673085,376,1854.104189
207.029141,309,1860.580477
192.264973,367,1869.535436
244.39381,335,1876.529685
216.497321,303,1882.879371
-3.625067,302,1889.240491
-29.128547,188,1893.187224
-82.396538,334,1900.155924
205.703402,361,1907.743667
220.428969,435,1918.051542
287.173635,351,1925.435106
-1.325303,230,1930.291728
233.170538,335,1937.388783
202.957188,377,1945.322957
-22.803772,216,1949.901999
256.070016,401,1959.45692
238.893854,372,1967.324483
-3.497099,345,1974.534773
-37.590082,313,1981.165928
223.464345,439,1990.408326
-66.05872,259,1995.855287
-159.797037,801,2013.998725
217.897823,385,2022.179676
-204.937787,292,2028.330767
-45.264294,256,2033.725946
-62.227016,218,2038.320441
196.194196,478,2049.525916
-43.134177,408,2058.13429
238.406094,439,2067.330743
-202.620725,412,2075.973827
231.522914,385,2084.034518
-71.59448,251,2090.467472
225.345563,421,2099.551687
217.442557,421,2108.401959
226.040012,439,2117.988133
210.185558,434,2127.02485
205.690838,628,2141.17999
-112.615257,307,2147.592986
-65.650922,330,2154.449259
-169.530724,919,2173.476063
-44.94663,252,2181.923902
-20.630346,1000,2202.570206
-49.35975,1000,2223.223267
-52.592296,1000,2243.940943
-51.02715,262,2249.362951
-52.194784,1000,2270.002728
-53.899458,1000,2290.611939
-139.882739,562,2302.202959
-20.726398,1000,2322.813541
-46.312616,1000,2343.452463
-49.944307,1000,2385.391881
